番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
18,67,A,67-A-018,骨格筋を構成するタンパク質の説明として正しいのはどれか。,ミオシンはCa2+センサーの役割を果たす。,筋収縮はアクチンと太い筋フィラメントの滑り運動によって起こる。,トロポニンは細い筋フィラメントを束ねている。,トロポミオシンはATPを分解する。,太い筋フィラメントの収縮により筋節(サルコメア)は短縮する。,2,2,筋収縮はアクチンと太い筋フィラメントの滑り運動によって起こる。
19,67,A,67-A-019,ギャップジャンクションに関する記述として正しいのはどれか。,イオンは通過しない。,骨格筋が収縮する際に必要である。,心筋線維間の興奮が速く広がる経路となる。,尿細管上皮細胞に再吸収されたNa+が管腔内に逆流する経路となる。,筋小管系を構成する要素である。,3,3,心筋線維間の興奮が速く広がる経路となる。
20,67,A,67-A-020,哺乳動物の視覚に関する記述として正しいのはどれか。,一次視覚野は後頭葉に存在する。,外節に光が吸収されると視細胞電位は脱分極する。,光の屈折は水晶体のみで起こる。,暗所視では桿体細胞より錐体細胞の感受性が高い。,遠近調節は主として瞳孔括約筋によって行われる。,1,1,一次視覚野は後頭葉に存在する。
21,67,A,67-A-021,哺乳動物の聴覚に関する記述として正しいのはどれか。,耳石器が音を感受する。,蝸牛管にある外リンパ液のK+濃度は内リンパ液より高い。,蝸牛の特徴周波数は卵円窓から離れるにつれて低くなる。,聴覚電位は有毛細胞の細胞長が変化して発生する。,聴覚の情報は視床を通過しない。,3,3,蝸牛の特徴周波数は卵円窓から離れるにつれて低くなる。
22,67,A,67-A-022,糖代謝に関する記述として正しいのはどれか。,グルコースから脂肪酸への変換は可逆的過程である。,インスリンは筋におけるグリコーゲン貯蔵を抑制する。,ケトン体はミトコンドリアでアセチルCoAから生成される。,マルトースはマルターゼの作用によりショ糖に分解される。,糖新生を行う主要な臓器は腎臓である。,3,3,ケトン体はミトコンドリアでアセチルCoAから生成される。
23,67,A,67-A-023,インスリン受容体タンパク質が有するキナーゼ活性はどれか。,セリン/トレオニンキナーゼ,PI3キナーゼ,グルコキナーゼ,チロシンキナーゼ,グリセロールキナーゼ,4,4,チロシンキナーゼ
24,67,A,67-A-024,ミトコンドリアに関する記述として誤っているのはどれか。,たえず分裂や融合を行う。,シトクロームcを介してアポトーシスを誘導する。,透過性の異なる2種類の膜で囲まれている。,ミトコンドリアゲノムにはヒストンが存在する。,ミトコンドリア内の電子伝達過程でROS(活性酸素種)が生成される。,4,4,ミトコンドリアゲノムにはヒストンが存在する。
25,67,A,67-A-025,"ハーディ-ワインベルグの平衡状態にあり、遺伝子座Aに対立遺伝子Aとa
がある集団において、遺伝子型がAAである個体の頻度が0.49であった場合、
Aaの個体の頻度として正しいのはどれか。",0.09,0.14,0.21,0.3,0.42,5,5,0.42
26,67,A,67-A-026,ブラジキニンに関する記述として誤っているのはどれか。,細動脈を収縮させる。,血管透過性を亢進する。,キニノーゲンから血漿カリクレインの作用により産生される。,プロスタグランジン合成を促進する。,アンギオテンシン変換酵素によって分解される。,1,1,細動脈を収縮させる。
27,67,A,67-A-027,"抗感染症薬と病原体に対する作用機序の組合せとして正しいのはどれか。
抗感染症薬 作用機序（2つ選びなさい。）",エンロフロキサシン 　－　細胞膜の透過性亢進,ベンジルペニシリン 　－　細胞壁の合成阻害,ゲンタマイシン 　－　タンパク質の合成阻害,アムホテリシンB 　－　葉酸の合成阻害,スルファモノメトキシン 　－　DNAジャイレースの活性阻害,3,"2, 3","ベンジルペニシリン 　－　細胞壁の合成阻害,ゲンタマイシン 　－　タンパク質の合成阻害"
28,67,A,67-A-028,アトロピンの作用はどれか。（2つ選びなさい。）,心拍数の増加,唾液分泌の亢進,消化管運動の亢進,縮瞳,気管支粘膜からの分泌抑制,2,"1, 5","心拍数の増加,気管支粘膜からの分泌抑制"
29,67,A,67-A-029,ホルモンの作用に拮抗することで効果をあらわす利尿薬はどれか。,スピロノラクトン,マンニトール,ヒドロクロロチアジド,トリアムテレン,フロセミド,1,1,スピロノラクトン
30,67,A,67-A-030,末梢神経系作用薬に関する記述として誤っているのはどれか。,フィゾスチグミンを点眼すると縮瞳する。,リドカインは神経の活動電位を可逆的に遮断する。,サルブタモールにより気管支は拡張する。,プラゾシンにより嘔吐が抑制される。,カルバコールは腸管の蠕動運動を強力に促進する。,4,4,プラゾシンにより嘔吐が抑制される。
31,67,A,67-A-031,ドパミン受容体を介して制吐作用を示す薬はどれか。,アポモルヒネ,シメチジン,ジフェンヒドラミン,ニフェジピン,メトクロプラミド,5,5,メトクロプラミド
32,67,A,67-A-032,薬物代謝の第II相反応の説明として正しいのはどれか。,グルタチオン抱合体はそのまま尿中に排泄される。,グルクロン酸転移酵素は補酵素として活性硫酸を必要とする。,グルクロン酸転移酵素は主に核内に存在する。,反応の活性(抱合能)には動物種差が認められる。,薬物代謝第II相反応を経ると化学物質の脂溶性が増加する。,4,4,反応の活性(抱合能)には動物種差が認められる。
33,67,A,67-A-033,カルバメート化合物による毒性発現機序はどれか。,コリンエステラーゼの阻害,神経軸索のNa+チャネル阻害,運動神経終末部からのアセチルコリン放出阻害,ニコチン作動性アセチルコリン受容体へのアゴニスト作用,脳内のグルタミン酸受容体の刺激,1,1,コリンエステラーゼの阻害
34,67,A,67-A-034,Good Laboratory Practice(GLP)の説明として正しいのはどれか。,医薬品の品質を管理するための基準,医薬品の製造販売後の安全管理基準,信頼性の確保された毒性試験の実施基準,倫理に配慮した科学的臨床試験を行うための基準,高品質の医薬品を製造するための基準,3,3,信頼性の確保された毒性試験の実施基準
35,67,A,67-A-035,"近位尿細管上皮細胞にミエリン様小体(ミエロイド体)が蓄積する腎毒性物質
はどれか。",ゲンタマイシン,鉛,エチレングリコール,マイトマイシンC,シスプラチン,1,1,ゲンタマイシン
36,67,A,67-A-036,化学物質のリスクアナリシスに関する記述として誤っているのはどれか。,農林水産省はリスク管理機関である。,リスクアセスメントは科学的な観点からリスクを評価する。,食品安全委員会はリスク評価機関である。,リスクアセスメントはリスクアナリシスの1要素である。,リスクコミュニケーションは評価する科学者間で行われる。,5,5,リスクコミュニケーションは評価する科学者間で行われる。
37,67,A,67-A-037,血管内皮細胞で合成される血液凝固因子はどれか。,フィブリノーゲン,抗血友病因子,フォンヴィレブランド因子,プロトロンビン,クリスマス因子,3,3,フォンヴィレブランド因子
38,67,A,67-A-038,脳の融解壊死(軟化)病変で観察されるマクロファージを何と呼ぶか。,ラングハンス型巨細胞,脂肪顆粒細胞,担鉄細胞,異物型巨細胞,メラニン貪食細胞,2,2,脂肪顆粒細胞
39,67,A,67-A-039,肉芽腫性炎症が観察される牛の疾患はどれか。（2つ選びなさい。）,ヨーネ病,炭疽,牛肺疫,口蹄疫,放線菌症,2,"1, 5","ヨーネ病,放線菌症"
40,67,A,67-A-040,アスベストが関連する腫瘍として最も適当なのはどれか。（2つ選びなさい。）,悪性中皮腫,肺癌,悪性黒色腫,胃癌,胆管癌,1,"1, 2","悪性中皮腫,肺癌"
41,67,A,67-A-041,死後変化に関する記述として正しいのはどれか。（2つ選びなさい。）,外界の環境に関係なく一定の経過をたどる。,死後硬直は四肢から生じる。,膵臓は自身の持つ酵素により自己融解を起こしやすい。,死後の仮性メラノーシスには硫化水素が関与する。,死後凝血による凝固血は血管壁から剥がれにくい。,4,"3, 4","膵臓は自身の持つ酵素により自己融解を起こしやすい。,死後の仮性メラノーシスには硫化水素が関与する。"
42,67,A,67-A-042,硝子血栓に関する記述として正しいのはどれか。（2つ選びなさい。）,線維素(フィブリン)を主成分とする。,主に大型の動脈に形成される。,血液の流れが停滞している部位に形成される。,壁在性血栓と呼ばれる。,主にショック時に出現する。,2,"1, 5","線維素(フィブリン)を主成分とする。,主にショック時に出現する。"
43,67,A,67-A-043,水腫の発生要因はどれか。（2つ選びなさい。）,血漿膠質浸透圧の上昇,毛細血管静水圧の低下,毛細血管透過性の低下,血漿膠質浸透圧の低下,毛細血管透過性の亢進,5,"4, 5","血漿膠質浸透圧の低下,毛細血管透過性の亢進"
44,67,A,67-A-044,"病理学用語とその説明の組合せとして正しいのはどれか。
用語 説明（2つ選びなさい。）",癌腫 　－　非上皮系悪性腫瘍,過誤腫 　－　過剰成長した奇形組織,退形成 　－　細胞分化度の低下,異形成 　－　腫瘍細胞の形態的異常,実質 　－　腫瘍周囲の結合組織,3,"2, 3","過誤腫 　－　過剰成長した奇形組織,退形成 　－　細胞分化度の低下"
45,67,A,67-A-045,先天異常に関する記述として正しいのはどれか。（2つ選びなさい。）,奇形のうち肉眼的に容易に判断できるものをいう。,猫のパルボウイルス感染症では内水頭症が認められる。,無心体は非対称性分離重複体に分類される。,三毛猫雄の多くは性染色体トリソミーである。,臨界期が最も早いのは心臓である。,4,"3, 4","無心体は非対称性分離重複体に分類される。,三毛猫雄の多くは性染色体トリソミーである。"
46,67,A,67-A-046,グラム陽性菌の構造に関する記述として正しいのはどれか。（2つ選びなさい。）,タイコ酸を含む細胞壁をもつ。,ペリプラズムがない。,細胞壁にリポ多糖をもつ。,ペプチドグリカン層がない。,外膜をもつ。,1,"1, 2","タイコ酸を含む細胞壁をもつ。,ペリプラズムがない。"
47,67,A,67-A-047,衛星現象を示す病原体による疾患はどれか。,馬パラチフス,豚の萎縮性鼻炎,リステリア症,グレーサー病,牛の腎盂腎炎,4,4,グレーサー病
48,67,A,67-A-048,フラビウイルス科に分類されるのはどれか。（2つ選びなさい。）,ダニ媒介性脳炎ウイルス,馬動脈炎ウイルス,アイノウイルス,アフリカ馬疫ウイルス,牛ウイルス性下痢ウイルス,2,"1, 5","ダニ媒介性脳炎ウイルス,牛ウイルス性下痢ウイルス"
49,67,A,67-A-049,培養ができないのはどれか。,Mycobacterium leprae,Mycobacterium bovis,Mycobacterium avium subsp. paratuberculosis,Mycobacterium tuberculosis,Mycobacterium avium subsp. avium,1,1,Mycobacterium leprae
50,67,A,67-A-050,細菌の外毒素の特徴として適切なのはどれか。（2つ選びなさい。）,抗原性が弱い。,トキソイド化する。,タンパク質あるいはペプチドからなる。,耐熱性で失活しにくい。,リムルステストで検出する。,3,"2, 3","トキソイド化する。,タンパク質あるいはペプチドからなる。"
51,67,A,67-A-051,クラミジアの増殖環に出現しない構造はどれか。,網様体,異染小体,基本小体,中間体,封入体,2,2,異染小体
52,67,A,67-A-052,ウイルスの定量方法として用いられないのはどれか。,細胞変性効果の測定,逆転写酵素活性の測定,リアルタイムPCRによる測定,比濁法による測定,粒子数の測定,4,4,比濁法による測定
53,67,A,67-A-053,マイコプラズマによる感染症はどれか。,伝染性角結膜炎,山羊伝染性胸膜肺炎,伝染性胃腸炎,伝染性気管支炎,伝染性喉頭気管炎,2,2,山羊伝染性胸膜肺炎
54,67,A,67-A-054,分節状のゲノムを有するウイルス科はどれか。,ヘルペスウイルス科,ピコルナウイルス科,フラビウイルス科,ブニヤウイルス科,アスファウイルス科,4,4,ブニヤウイルス科
55,67,A,67-A-055,抗原抗体反応を利用した感染症の診断法はどれか。,END法,RIFテスト,ミルクテスト,ファージテスト,アスコリ反応,5,5,アスコリ反応
56,67,A,67-A-056,哺乳類の免疫グロブリンに関する記述として正しいのはどれか。（2つ選びなさい。）,IgGは初回抗原刺激を受けると最初に産生される。,IgMは血中に存在する主要な抗体である。,IgAには分泌型が存在する。,IgEはI型過敏症に関与する。,IgDは5量体である。,4,"3, 4","IgAには分泌型が存在する。,IgEはI型過敏症に関与する。"
57,67,A,67-A-057,エンテロトキセミアの原因となる細菌はどれか。,Fusobacterium necrophorum,Clostridium perfringens,Escherichia coli,Pasteurella multocida,Listeria monocytogenes,2,2,Clostridium perfringens
58,67,A,67-A-058,ベクターが蚊である感染症はどれか。,ウエストナイル熱,アフリカ豚コレラ,クリミア・コンゴ出血熱,アカバネ病,ナイロビ羊病,1,1,ウエストナイル熱
59,67,A,67-A-059,ハエ類が中間宿主である糸状虫はどれか。（2つ選びなさい。）,牛のパラフィラリア(Parafilaria bovicola),指状糸状虫(Setaria digitata),咽頭糸状虫(Onchocerca gutturosa),馬糸状虫(Setaria equina),沖縄糸状虫(Stephanofilaria okinawaensis),2,"1, 5","牛のパラフィラリア(Parafilaria bovicola),沖縄糸状虫(Stephanofilaria okinawaensis)"
60,67,A,67-A-060,中間宿主の体内でシゾゴニー(メロゴニー)を行う原虫はどれか。,Sarcocystis cruzi,Toxoplasma gondii,Isospora canis,Besnoitia besnoiti,Eimeria bovis,1,1,Sarcocystis cruzi
61,67,A,67-A-061,発育休止(Hypobiosis)が認められる寄生虫はどれか。（2つ選びなさい。）,馬蟯虫(Oxyuris equi),犬糸状虫(Dirofilaria immitis),豚鞭虫(Trichuris suis),捻転胃虫(Haemonchus contortus),牛肺虫(Dictyocaulus viviparus),5,"4, 5","捻転胃虫(Haemonchus contortus),牛肺虫(Dictyocaulus viviparus)"
62,67,A,67-A-062,"寄生虫とその中間宿主の組合せで正しいのはどれか。
寄生虫 中間宿主（2つ選びなさい。）",(東洋眼虫(Thelazia callipaeda) - ダニ類),(無鉤条虫(Taeniarhynchus saginatus) - 豚),(多包条虫(Echinococcus multilocularis) - エゾヤチネズミ),(頚部糸状虫(Onchocerca cervicalis) - ヌカカ類),(槍形吸虫(Dicrocoelium chinensis) - ササキリ類),4,"3, 4","(多包条虫(Echinococcus multilocularis) - エゾヤチネズミ),(頚部糸状虫(Onchocerca cervicalis) - ヌカカ類)"
63,67,A,67-A-063,無ファスミッド綱(Aphasmidia)に分類される線虫はどれか。（2つ選びなさい。）,糞線虫(Strongyloides stercoralis),豚鞭虫(Trichuris suis),旋毛虫(Trichinella sp.),馬円虫(Strongylus equinus),犬糸状虫(Dirofilaria immitis),3,"2, 3","豚鞭虫(Trichuris suis),旋毛虫(Trichinella sp.)"
64,67,A,67-A-064,アベルメクチン系薬剤を駆虫薬として用いる対象はどれか。（2つ選びなさい。）,大腸バランチジウム( Balantidium coli),壺型吸虫( Pharyngostomum cordatum),マンソン裂頭条虫( Spirometra erinaceieuropaei),豚回虫( Ascaris suum),イヌニキビダニ(Demodex canis),5,"4, 5","豚回虫( Ascaris suum),イヌニキビダニ(Demodex canis)"
65,67,A,67-A-065,最も長径が大きい虫卵はどれか。,肝蛭(Fasciola hepatica),牛回虫(Toxocara vitulorum),牛肺虫(Dictyocaulus viviparus),牛鞭虫( Trichuris discolor),槍形吸虫(Dicrocoelium chinensis),1,1,肝蛭(Fasciola hepatica)
66,67,A,67-A-066,猫において一般に漏出液による胸水貯留が認められる疾患はどれか。,膿胸,心筋症,猫伝染性腹膜炎,乳び胸,胸腔内リンパ腫,2,2,心筋症
67,67,A,67-A-067,一次止血異常の臨床徴候として適当なのはどれか。（2つ選びなさい。）,紫斑,関節内出血,筋肉内出血,採血部位の遅延性の出血,鼻出血,2,"1, 5","紫斑,鼻出血"
68,67,A,67-A-068,反跳脈(bounding pulse)が認められる疾患として適切なのはどれか。（2つ選びなさい。）,全身性高血圧,動脈管開存,大動脈弁閉鎖不全,肺動脈弁閉鎖不全,僧帽弁閉鎖不全,3,"2, 3","動脈管開存,大動脈弁閉鎖不全"
69,67,A,67-A-069,"角化細胞間のデスモゾームなどの細胞間橋が離解し、角化細胞が分散した状態
はどれか。",表皮肥厚,棘融解,表皮内細胞侵入,不全角化,海綿状態(細胞間浮腫),2,2,棘融解
70,67,A,67-A-070,家畜における異常行動(問題行動)はどれか。,ライトニング,マウンティング(乗駕),フレーメン,スタンディング(被乗駕),尾かじり,5,5,尾かじり
71,67,A,67-A-071,超音波検査のアーチファクトに関する記述として誤っているのはどれか。,音響陰影(シャドーイング)は超音波が減衰をほとんど生じない組織を通過,多重エコーは2つ以上の反射物のために生じる見せかけのエコーである。,ミラーイメージは横隔膜のような丸くて強く反射を示すインターフェイスに,サイドローブ・アーチファクトは一次ビームからはずれた小さなビームに,コメットテールは小さな気泡や金属性物質に伴ってみられることが多い。,1,1,音響陰影(シャドーイング)は超音波が減衰をほとんど生じない組織を通過
72,67,A,67-A-072,"造影剤とその分類の組合せで誤っているのはどれか。
造影剤　－　分類",硫酸バリウム 　－　陽性造影剤,イオタラム酸メグルミン 　－　陽性造影剤,イオヘキソール 　－　陰性造影剤,空気 　－　陰性造影剤,二酸化炭素 　－　陰性造影剤,3,3,イオヘキソール 　－　陰性造影剤
73,67,A,67-A-073,麻酔モニターに関する記述として適当なのはどれか。（2つ選びなさい。）,動脈血酸素飽和度は生体の酸素化状態の指標として用いられる。,心拍数は末梢組織の血液灌流状態の指標として用いられる。,毛細血管再充満時間は迷走神経の緊張度の指標として用いられる。,中心静脈圧は心拍出量の指標として用いられる。,呼気終末二酸化炭素分圧は換気状態の指標として用いられる。,2,"1, 5","動脈血酸素飽和度は生体の酸素化状態の指標として用いられる。,呼気終末二酸化炭素分圧は換気状態の指標として用いられる。"
74,67,A,67-A-074,成長板骨折においてその後の成長障害が最も重度となりやすい型はどれか。,ソルターハリスI型,ソルターハリスII型,ソルターハリスIII型,ソルターハリスIV型,ソルターハリスV型,5,5,ソルターハリスV型
75,67,A,67-A-075,"腫瘍とその随伴症候の組合せとして適当でないのはどれか。
腫瘍　－　随伴症候",肛門囊腺癌 　－　高カルシウム血症,多発性骨髄腫 　－　過粘稠度症候群,肝細胞癌 　－　高血糖,褐色細胞腫 　－　顕著な高血圧と不整脈,腎細胞癌 　－　多血症,3,3,肝細胞癌 　－　高血糖
76,67,A,67-A-076,アナフィラキシーショックに関する記述として適切でないのはどれか。,急性の全身性かつ重篤なI型アレルギー反応の1つである。,主にIgGを介した肥満細胞の脱顆粒が原因である。,細動脈の血管拡張や肺の細気管支の収縮、気管支痙攣が生じる。,口唇や顔面の腫脹、呼吸困難、嘔吐、ショックなど様々な症状を呈する。,治療にはアドレナリンの投与が有効である。,2,2,主にIgGを介した肥満細胞の脱顆粒が原因である。
77,67,A,67-A-077,"牛で右側腹部の打聴診によりピング音(金属性有響音)が聴取される疾患はど
れか。（2つ選びなさい。）",第一胃鼓脹症,創傷性心膜炎,第四胃右方変位,盲腸拡張症,迷走神経性消化不良,4,"3, 4","第四胃右方変位,盲腸拡張症"
78,67,A,67-A-078,牛において排卵時の卵子のステージはどれか。,第一成熟分裂前期,第一成熟分裂中期,第一成熟分裂後期,第二成熟分裂前期,第二成熟分裂中期,5,5,第二成熟分裂中期
79,67,A,67-A-079,乳用雌牛の発情期における変化として適当なのはどれか。,食欲が増進する。,運動量が低下する。,泌乳量が増加する。,外陰部が充血する。,頚管粘液のpHが高くなる。,4,4,外陰部が充血する。
80,67,A,67-A-080,牛において最も早い時期に正確な妊娠診断が可能なのはどれか。,頚管粘液検査,胎膜触診(胎膜スリップ),超音波検査,プロジェステロン測定,子宮動脈の肥大と震動の触知,3,3,超音波検査
1,68,A,68-A-001,"犬における関節と構成する骨の組合せとして正しいのはどれか。
関節 構成する骨（2つ選びなさい。）",顎関節 　－　側頭骨と下顎骨,肩関節 　－　肩甲骨と上腕骨,肘関節 　－　上腕骨と𦙾骨,股関節 　－　仙骨と大腿骨,膝関節 　－　大腿骨と腓骨,1,"1, 2","顎関節 　－　側頭骨と下顎骨,肩関節 　－　肩甲骨と上腕骨"
2,68,A,68-A-002,馬の飛節を構成する骨はどれか。（2つ選びなさい。）,基節骨,中節骨,寛骨,距骨,踵骨,5,"4, 5","距骨,踵骨"
4,68,A,68-A-004,馬において右腹側結腸から直接続くのはどれか。,左腹側結腸,右背側結腸,左背側結腸,横行結腸,下行結腸,1,1,左腹側結腸
5,68,A,68-A-005,犬における心臓と血管の接続に関する記述として正しいのはどれか。（2つ選びなさい。）,肺静脈は右心房に接続する。,肺動脈は左心房に接続する。,冠状動脈は大動脈に接続する。,冠状静脈洞は右心房に接続する。,前大静脈は左心房に接続する。,4,"3, 4","冠状動脈は大動脈に接続する。,冠状静脈洞は右心房に接続する。"
6,68,A,68-A-006,犬の呼吸器系に関する記述として正しいのはどれか。（2つ選びなさい。）,鼻腔は後鼻孔で咽頭に連絡する。,鼻腔は腹鼻道で副鼻腔と連絡する。,気管の気管支がみられる。,左肺には副葉がみられる。,副葉は縦隔陥凹に収まる。,2,"1, 5","鼻腔は後鼻孔で咽頭に連絡する。,副葉は縦隔陥凹に収まる。"
7,68,A,68-A-007,犬の腎臓に関する記述として正しいのはどれか。（2つ選びなさい。）,緻密斑は腎小体の血管極に接する近位尿細管壁に存在する。,糸球体傍細胞は輸出細動脈に存在する。,足細胞は多数の突起を出して糸球体毛細血管壁を覆う。,近位尿細管上皮細胞は刷子縁を有する。,集合管は細胞境界が不明瞭である。,4,"3, 4","足細胞は多数の突起を出して糸球体毛細血管壁を覆う。,近位尿細管上皮細胞は刷子縁を有する。"
8,68,A,68-A-008,鶏の泌尿器に関する記述として正しいのはどれか。,一側の腎臓は2つの腎区で構成される。,腎臓は左右で発達が異なり、左側がよく発達している。,左右の腎臓から出た尿管は正中で合流し1本になる。,尿管は排泄腔(cloaca)に開口する。,雄は尿道を有する。,4,4,尿管は排泄腔(cloaca)に開口する。
9,68,A,68-A-009,皮膚腺に関する記述として正しいのはどれか。（2つ選びなさい。）,乳腺は哺乳類のみにみられる。,馬ではアポクリン汗腺がよく発達する。,エックリン汗腺は毛包に開口する。,犬の肉球には脂腺がよく発達する。,鶏では汗腺がよく発達する。,1,"1, 2","乳腺は哺乳類のみにみられる。,馬ではアポクリン汗腺がよく発達する。"
10,68,A,68-A-010,犬において顔面神経が通るのはどれか。,舌下神経管,眼窩裂,正円孔,卵円孔,茎乳突孔,5,5,茎乳突孔
11,68,A,68-A-011,蝸牛神経が分布するのはどれか。,膨大部稜,平衡斑,ラセン器(コルチ器),鼓膜張筋,アブミ骨筋,3,3,ラセン器(コルチ器)
